objectid,description,identifier,latitude,longitude
8106,22nd St & Fair Oaks Dr,12075,39.796514,-86.25315
10033,Zionsville Rd & 82nd St,52773,39.9021,-86.259777
9807,46th St & Marcy Ln,52292,39.84016,-86.134693
7756,Rockville Rd & Rockleigh Ave,10988,39.764345,-86.293426
7398,22nd St & Park Ave,10420,39.797567,-86.148195
10123,Madison Ave & Moffitt St,52922,39.700558,-86.13941
10102,Westfield Blvd & Kessler Blvd,52852,39.862654,-86.154271
9184,Michigan Rd & Kessler Blvd W Dr,51030,39.854858,-86.195473
10418,University Ave & Irving Ct,53471,39.766429,-86.070837
7240,Meridian St & 16th St,10146,39.787875,-86.157205
10190,Madison Ave & Mason St,53032,39.732508,-86.153947
8142,Lynhurst Dr & Speedway Dr,12118,39.791292,-86.2509
9005,Washington St & Whitcomb Ave,50794,39.750516,-86.257512
9951,Harcourt Rd & Westlane Rd,52608,39.886136,-86.193433
7580,Shortridge Rd - 900 N,10765,39.780806,-86.040752
9155,Purdue Rd - 8909 N,50991,39.918127,-86.221257
7959,Keystone Ave & 53rd St,11819,39.849459,-86.12219
7780,10th St & Somerset Ave,11019,39.780384,-86.2222
7967,Keystone Ave & 39th St,11828,39.826735,-86.121884
10276,Main St & 06th Ave,53245,39.721691,-86.088809
9288,Arlington Ave & 30th St,51192,39.811198,-86.064748
7361,Lafayette Rd - 3574 N,10341,39.820209,-86.231325
10185,Madison Ave & Berwyn St,53027,39.724363,-86.151127
9321,Michigan St & Gray St,51235,39.774609,-86.111692
8368,Raymond St & Private Dr,12510,39.737878,-86.114382
8164,30th St & Merchants Dr,12216,39.80971,-86.22244
7690,10th St - 4600 W,10907,39.780983,-86.237393
9744,86th St & Cholla Rd,52079,39.912624,-86.129877
8241,30th St & Alton Ave,12301,39.809636,-86.217865
10284,Emerson Ave & Victory Dr,53255,39.701143,-86.082703
10048,Georgetown Rd & 71st St,52788,39.881452,-86.244324
7709,High School Rd & 30th St,10934,39.809127,-86.26992
8750,Ohio St & Pennsylvania St,50402,39.769869,-86.156458
10329,Troy Ave & Harlan St,53316,39.72309,-86.123299
8182,34th St & Faculty Dr,12236,39.816365,-86.265871
10379,English Ave & Temperance Ave,53418,39.760156,-86.092533
8282,Morris St & Centennial St,12384,39.750232,-86.21418
7802,10th St & Park Ave,11052,39.780857,-86.147534
8828,A J Brown Ave & 17th St,50527,39.790507,-86.135459
7415,34th St & Orchard Ave,10440,39.818042,-86.127921
9294,Arlington Ave & 23rd St,51198,39.800135,-86.064603
8565,Meadows Dr & Meadows Pkwy,50047,39.827814,-86.113413
10255,Merdian St & Gimber St,53221,39.727419,-86.158931
10074,Lafayette Rd & Tibbs Ave,52814,39.804527,-86.215486
9013,Washington St & Fleming St,50802,39.756859,-86.236929
7970,Keystone Ave & 34th St,11832,39.817695,-86.121764
8350,Troy Ave & Seerley Creek Dr,12459,39.72042,-86.246064
10078,Lafayette Rd - 2220 N,52818,39.797469,-86.208017
9610,29th St & MLK St,51827,39.808275,-86.17257
7218,38th St & Guilford Ave,10093,39.825232,-86.142186
9433,2525 N Shadeland - Western Select,51459,39.803806,-86.044798
7951,Keystone Ave & 69th St,11805,39.881163,-86.122265
8706,Clifton St & Congress Ave,50351,39.811964,-86.180406
10061,Georgetown Rd & 52nd St,52801,39.845633,-86.241851
9946,Hoover Rd & Golf Ln,52592,39.877298,-86.174481
7913,Rural St & Saint Clair Ct,11754,39.777736,-86.116615
7284,42nd St & Private Dr-Missionary Christian Church,10224,39.833306,-86.016146
9389,Pleasant Run Pkwy N Dr & Bolton Ave,51343,39.776232,-86.066952
