X,Y,OBJECTID,DESCRIPTION,IDENTIFIER,LATITUDE,LONGITUDE
-86.140846999498,39.8142700003764,7408,Sutherland Ave & Private,10433,39.81427,-86.140847
-86.1392849995218,39.8154369998449,7409,Sutherland Ave & Guilford Ave,10434,39.815437,-86.139285
-86.1377110004209,39.8158779996208,7410,Sutherland Ave & Winthrop Ave,10435,39.815878,-86.137711
-86.1345669997405,39.8179079997653,7411,Sutherland Ave & 34th St,10436,39.817908,-86.134567
-86.1327730000693,39.8180090003357,7412,34th St & Hovey St,10437,39.818009,-86.132773
-86.1312820001452,39.8180169996871,7413,34th St & Ralston Ave,10438,39.818017,-86.131282
-86.1298039996777,39.8180479996319,7414,34th St & Schofield Ave,10439,39.818048,-86.129804
-86.127920999936,39.8180420003374,7415,34th St & Orchard Ave,10440,39.818042,-86.127921
-86.1259809996042,39.8180520002531,7416,34th St & Caroline Ave,10441,39.818052,-86.125981
-86.1242330002867,39.8180670002457,7417,34th St & Baltimore Ave,10442,39.818067,-86.124233
-86.1211750003436,39.8180739999638,7418,34th St & Keystone Ave,10444,39.818074,-86.121175
-86.1202599996746,39.818087999607,7419,34th St & Tacoma Ave,10445,39.818088,-86.12026
-86.118348999911,39.8180930002785,7420,34th St & Temple Ave,10446,39.818093,-86.118349
-86.1168960002438,39.8180879997548,7421,34th St & Rural St,10447,39.818088,-86.116896
-86.1151910004741,39.8181030001908,7422,34th St & Oxford St,10448,39.818103,-86.115191
-86.1123639997021,39.818100000154,7423,34th St & Dearborn St,10450,39.8181,-86.112364
-86.1097369998422,39.8181149998574,7424,34th St & Houston St,10451,39.818115,-86.109737
-86.1085519995024,39.8181279996398,7425,34th St & Adams St,10452,39.818128,-86.108552
-86.1070389995657,39.8181500000782,7426,34th St & Olney St,10453,39.81815,-86.107039
-86.1045150001865,39.8181520000349,7427,34th St & Station St,10455,39.818152,-86.104515
-86.1028770000992,39.8181489999276,7428,34th St & Sherman Dr,10456,39.818149,-86.102877
-86.1002959996445,39.81817299975,7429,34th St & Chester Ave,10457,39.818173,-86.100296
-86.0980750002704,39.8181870000506,7430,34th St & Forest Manor Ave,10458,39.818187,-86.098075
-86.0953549997465,39.8182160001359,7431,34th St & Colorado Ave,10460,39.818216,-86.095355
-86.0927030004655,39.8182450002235,7432,34th St & Euclid Ave,10461,39.818245,-86.092703
-86.0903929997769,39.8182669998902,7433,34th St & Arthington Blvd,10463,39.818267,-86.090393
-86.0878970005216,39.8182949996862,7434,34th St & Dequincy St,10465,39.818295,-86.087897
-86.0851349995112,39.818324999776,7435,34th St & Bancroft St,10466,39.818325,-86.085135
-86.0831909996264,39.8183560003943,7436,34th St & Emerson Ave,10469,39.818356,-86.083191
-86.0803540001552,39.818344999582,7437,34th St & Butler Ave,10470,39.818345,-86.080354
-86.0778730003184,39.8183289998307,7438,34th St & Downey Ave,10471,39.818329,-86.077873
-86.0733160002294,39.8183419999227,7439,34th St & Layman Ave,10472,39.818342,-86.073316
-86.0679859999236,39.8183219998848,7440,34th St - 5851 E,10473,39.818322,-86.067986
-86.0642199994683,39.8183050000682,7441,34th St & Arlington Ave,10474,39.818305,-86.06422
-86.0586310004955,39.8183539996271,7442,34th St - 6600 E,10475,39.818354,-86.058631
-86.054950000479,39.8183689999488,7443,34th St - 6700 E,10476,39.818369,-86.05495
-86.0527889995101,39.8183869997774,7444,34th St & Elizabeth St,10477,39.818387,-86.052789
-86.0510339999778,39.8183929997575,7445,34th St & Edmondson Ave,10478,39.818393,-86.051034
-86.0464270002757,39.8183920000627,7446,34th St & Shadeland Ave,10479,39.818392,-86.046427
-86.0459259996246,39.816052000014,7447,Shadeland Ave & 32nd St,10480,39.816052,-86.045926
-86.0458999996681,39.8137430002304,7448,Shadeland Ave - 3100 N,10481,39.813743,-86.0459
-86.0445100005682,39.8110159997267,7449,30th St & Shadeland Ave,10482,39.811016,-86.04451
